./data/wildcam_denoised/train_43
== Found 858 items 
== Found 2 classes
train environment:  43
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
./data/wildcam_denoised/train_46
== Found 753 items 
== Found 2 classes
train environment:  46
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
./data/wildcam_denoised/test
== Found 522 items 
== Found 2 classes
['/coyote', '/raccoon']

working with 2 training environments: 
env['images']:  858
env['labels']:  858
class distribution:  582 coyotes and 276 raccoons. baseline accuracy 0.68 (always coyote).
env['images']:  753
env['labels']:  753
class distribution:  512 coyotes and 241 raccoons. baseline accuracy 0.68 (always coyote).
x_test:  522
y_test:  522
test class distribution:  144 coyotes and 378 raccoons. baseline accuracy 0.28 (always coyote).
Using GPU - True

========================================ERM========================================
{'n_restarts': 5, 'steps': 121, 'n_classes': 2, 'fc_only': True, 'model_path': './models/', 'transform': {'train': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
), 'test': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)}, 'loader_tr_args': {'batch_size': 100, 'num_workers': 1}, 'loader_te_args': {'batch_size': 100, 'num_workers': 1}, 'loader_sample_args': {'batch_size': 100, 'num_workers': 1}, 'optimizer_args': {'lr': 0.001, 'l2_regularizer_weight': 0.001, 'penalty_anneal_iters': 0, 'penalty_weight': 0.0}}

Restart 0
step            train nll       train acc       train penalty   test nll        test acc        test prec       test rec     
0               0.84201         0.29020         0.03132         0.82703         0.26864         0.56522         0.03439      
10              0.54008         0.67832         0.00219         1.00853         0.28136         0.00000         0.00000      
20              0.40773         0.83993         0.02088         0.75663         0.35136         0.75610         0.16402      
30              0.34317         0.84261         0.01184         0.77303         0.31985         0.67391         0.08201      
40              0.31180         0.86315         0.01024         0.72175         0.36803         0.73636         0.21429      
50              0.29814         0.86478         0.00695         0.78943         0.31879         0.71667         0.11376      
60              0.27918         0.87737         0.00725         0.78338         0.34485         0.75410         0.12169      
70              0.27351         0.88458         0.00583         0.84746         0.28182         0.75000         0.07143      
80              0.25651         0.89147         0.00650         0.83273         0.30970         0.74286         0.06878      
90              0.25156         0.89522         0.00625         0.84272         0.29530         0.72093         0.08201      
100             0.24202         0.90476         0.00665         0.86236         0.30212         0.75000         0.06349      
110             0.24710         0.89888         0.00609         0.86557         0.30288         0.75000         0.07937      
120             0.22917         0.91167         0.00744         0.87135         0.33076         0.78788         0.06878      

Restart 1
step            train nll       train acc       train penalty   test nll        test acc        test prec       test rec     
0               0.77001         0.40002         0.01066         0.71149         0.51606         0.73387         0.48148      
10              0.50196         0.67938         0.00283         0.94291         0.26364         0.50000         0.00794      
20              0.39647         0.84119         0.02098         0.65313         0.56833         0.79924         0.55820      
30              0.33906         0.83226         0.01034         0.75466         0.31606         0.66667         0.18519      
40              0.31393         0.85812         0.00825         0.65434         0.52682         0.78378         0.46032      
50              0.29799         0.86268         0.00671         0.72644         0.39576         0.70714         0.26190      
60              0.28549         0.86683         0.00532         0.72801         0.39727         0.72297         0.28307      
70              0.27636         0.87617         0.00601         0.75414         0.35727         0.69444         0.19841      
80              0.25888         0.89195         0.00590         0.73216         0.39424         0.72727         0.21164      
90              0.25526         0.89078         0.00547         0.75774         0.37970         0.76577         0.22487      
100             0.24717         0.89252         0.00569         0.78334         0.37500         0.76250         0.16138      
110             0.25092         0.89100         0.00564         0.79035         0.36485         0.76543         0.16402      
120             0.24115         0.90723         0.00626         0.82449         0.35152         0.78689         0.12698      

Restart 2
step            train nll       train acc       train penalty   test nll        test acc        test prec       test rec     
0               0.68354         0.56027         0.00036         0.76839         0.29106         0.55618         0.26190      
10              0.45373         0.71801         0.00950         0.75696         0.31530         0.69620         0.14550      
