./data/wildcam_denoised/train_43
== Found 858 items 
== Found 2 classes
train environment:  43
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
./data/wildcam_denoised/train_46
== Found 753 items 
== Found 2 classes
train environment:  46
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
./data/wildcam_denoised/test
== Found 522 items 
== Found 2 classes
['/coyote', '/raccoon']

working with 2 training environments: 
env['images']:  858
env['labels']:  858
class distribution:  582 coyotes and 276 raccoons. baseline accuracy 0.68 (always coyote).
env['images']:  753
env['labels']:  753
class distribution:  512 coyotes and 241 raccoons. baseline accuracy 0.68 (always coyote).
x_test:  522
y_test:  522
test class distribution:  144 coyotes and 378 raccoons. baseline accuracy 0.28 (always coyote).
Using GPU - True

========================================IRM========================================
{'n_restarts': 5, 'steps': 121, 'n_classes': 2, 'fc_only': True, 'model_path': './models/', 'transform': {'train': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
), 'test': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)}, 'loader_tr_args': {'batch_size': 100, 'num_workers': 1}, 'loader_te_args': {'batch_size': 100, 'num_workers': 1}, 'loader_sample_args': {'batch_size': 100, 'num_workers': 1}, 'optimizer_args': {'lr': 0.001, 'l2_regularizer_weight': 0.001, 'penalty_anneal_iters': 40, 'penalty_weight': 10000.0}}

Restart 0
step            train nll       train acc       train penalty   test nll        test acc        test prec       test rec     
0               0.84201         0.29020         0.03132         0.82703         0.26864         0.56522         0.03439      
10              0.54066         0.67895         0.00259         0.95627         0.27970         0.00000         0.00000      
20              0.41900         0.79070         0.01581         0.85620         0.26273         0.63636         0.01852      
30              0.36187         0.81747         0.01000         0.83011         0.29818         0.61538         0.02116      
40              0.32415         0.85461         0.01120         0.73086         0.34545         0.72340         0.17989      
50              0.31500         0.85451         0.00757         0.71289         0.39894         0.75969         0.25926      
60              0.30527         0.86227         0.00709         0.72102         0.38818         0.74783         0.22751      
70              0.30908         0.85298         0.00517         0.73591         0.39152         0.75214         0.23280      
80              0.30120         0.86253         0.00473         0.69224         0.44182         0.75862         0.29101      
90              0.30720         0.85848         0.00371         0.67274         0.50591         0.79397         0.41799      
100             0.31127         0.85567         0.00265         0.60255         0.62379         0.81481         0.58201      
110             0.33108         0.84932         0.00228         0.57398         0.71530         0.82955         0.77249      
120             0.33016         0.84830         0.00258         0.54449         0.75045         0.83065         0.81746      

Restart 1
step            train nll       train acc       train penalty   test nll        test acc        test prec       test rec     
0               0.77001         0.40002         0.01066         0.71149         0.51606         0.73387         0.48148      
10              0.50554         0.68160         0.00324         0.91477         0.26364         0.50000         0.01323      
20              0.40135         0.81262         0.01788         0.72849         0.35894         0.67769         0.21693      
30              0.35353         0.80601         0.00835         0.79722         0.29864         0.67797         0.10582      
40              0.32162         0.84847         0.00843         0.66641         0.51682         0.78037         0.44180      
50              0.31128         0.86299         0.00669         0.65222         0.52985         0.78862         0.51323      
60              0.30963         0.85908         0.00444         0.61316         0.59833         0.80986         0.60847      
